original,original_year,original_url,remake,remake_year,remake_url,original_wikidata_id,remake_wikidata_id
12 Angry Men,1957,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film),12 Angry Men (1997),1997,https://en.wikipedia.org/wiki/12_Angry_Men_(1997_film),Q2345,Q386042
13 Assassins,1963,https://en.wikipedia.org/wiki/13_Assassins_(1963_film),13 Assassins,2010,https://en.wikipedia.org/wiki/13_Assassins_(2010_film),Q3230304,Q186810
13 Ghosts,1960,https://en.wikipedia.org/wiki/13_Ghosts,Thirteen Ghosts,2001,https://en.wikipedia.org/wiki/Thirteen_Ghosts,Q541412,Q186864
13 Tzameti,2005,https://en.wikipedia.org/wiki/13_Tzameti,13,2010,https://en.wikipedia.org/wiki/13_(2010_film),Q186900,Q186799
3 Idiots,2009,https://en.wikipedia.org/wiki/3_Idiots,Nanban,2012,https://en.wikipedia.org/wiki/Nanban_(2012_film),Q229633,Q683308
3 Idiots,2009,https://en.wikipedia.org/wiki/3_Idiots,3 Idiotas,2017,https://en.wikipedia.org/wiki/3_Idiotas,Q229633,Q29022267
3:10 to Yuma,1957,https://en.wikipedia.org/wiki/3:10_to_Yuma_(1957_film),3:10 to Yuma,2007,https://en.wikipedia.org/wiki/3:10_to_Yuma_(2007_film),Q247130,Q746029
36 Hours,1965,https://en.wikipedia.org/wiki/36_Hours_(1965_film),Breaking Point,1989,https://en.wikipedia.org/wiki/Breaking_Point_(1989_film),Q227532,Q21527510
The 39 Steps,1935,https://en.wikipedia.org/wiki/The_39_Steps_(1935_film),The 39 Steps,1959,https://en.wikipedia.org/wiki/The_39_Steps_(1959_film),Q501105,Q288361
The 39 Steps,1935,https://en.wikipedia.org/wiki/The_39_Steps_(1935_film),The 39 Steps,1978,https://en.wikipedia.org/wiki/The_39_Steps_(1978_film),Q501105,Q1210739
The 39 Steps,1935,https://en.wikipedia.org/wiki/The_39_Steps_(1935_film),The 39 Steps,2008,https://en.wikipedia.org/wiki/The_39_Steps_(2008_film),Q501105,Q7711878
7th Heaven,1927,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),Seventh Heaven,1937,https://en.wikipedia.org/wiki/Seventh_Heaven_(1937_film),Q368451,Q2249260
Against All Flags,1952,https://en.wikipedia.org/wiki/Against_All_Flags,The King's Pirate,1967,https://en.wikipedia.org/wiki/The_King%27s_Pirate,Q1374462,Q3509204
Aina,1977,https://en.wikipedia.org/wiki/Aina_(1977_film),Aaina,2013,https://en.wikipedia.org/wiki/Aina_(2013_film),Q4697372,Q15983284
Aina,1977,https://en.wikipedia.org/wiki/Aina_(1977_film),Pyar Jhukta Nahin,1985,https://en.wikipedia.org/wiki/Pyar_Jhukta_Nahin,Q4697372,Q7262816
Aina,1977,https://en.wikipedia.org/wiki/Aina_(1977_film),Nee Bareda Kadambari,1985,https://en.wikipedia.org/wiki/Nee_Bareda_Kadambari,Q4697372,Q13159811
Arth,1982,https://en.wikipedia.org/wiki/Arth_(film),Arth - The Destination,2017,https://en.wikipedia.org/wiki/Arth_-_The_Destination,Q3427511,Q24904725
The Absent-Minded Professor,1961,https://en.wikipedia.org/wiki/The_Absent-Minded_Professor,Flubber,1997,https://en.wikipedia.org/wiki/Flubber_(film),Q1198611,Q1325217
Adventures in Babysitting,1987,https://en.wikipedia.org/wiki/Adventures_in_Babysitting,Adventures in Babysitting,2016,https://en.wikipedia.org/wiki/Adventures_in_Babysitting_(2016_film),Q1215038,Q21197880
An Affair to Remember,1957,https://en.wikipedia.org/wiki/An_Affair_to_Remember,Bheegi Raat,1965,https://en.wikipedia.org/wiki/Bheegi_Raat,Q303719,Q11107019
An Affair to Remember,1957,https://en.wikipedia.org/wiki/An_Affair_to_Remember,Mann,1999,https://en.wikipedia.org/wiki/Mann_(film),Q303719,Q369413
Agneepath,1990,https://en.wikipedia.org/wiki/Agneepath_(1990_film),Agneepath,2012,https://en.wikipedia.org/wiki/Agneepath_(2012_film),Q4692983,Q3595073
Aladdin,1992,https://en.wikipedia.org/wiki/Aladdin_(1992_Disney_film),Aladdin,2019,https://en.wikipedia.org/wiki/Aladdin_(2019_film),Q215518,Q27188178
Alfie,1966,https://en.wikipedia.org/wiki/Alfie_(1966_film),Alfie,2004,https://en.wikipedia.org/wiki/Alfie_(2004_film),Q402645,Q1356395
Aloma of the South Seas,1926,https://en.wikipedia.org/wiki/Aloma_of_the_South_Seas_(1926_film),Aloma of the South Seas,1941,https://en.wikipedia.org/wiki/Aloma_of_the_South_Seas_(1941_film),Q3612878,Q1814810
The Amityville Horror,1979,https://en.wikipedia.org/wiki/The_Amityville_Horror_(1979_film),The Amityville Horror,2005,https://en.wikipedia.org/wiki/The_Amityville_Horror_(2005_film),Q472512,Q471054
Anastasia,1956,https://en.wikipedia.org/wiki/Anastasia_(1956_film),Anastasia,1997,https://en.wikipedia.org/wiki/Anastasia_(1997_film),Q486591,Q486609
And Soon the Darkness,1970,https://en.wikipedia.org/wiki/And_Soon_the_Darkness_(1970_film),And Soon the Darkness,2010,https://en.wikipedia.org/wiki/And_Soon_the_Darkness_(2010_film),Q2846033,Q543642
Angel and the Badman,1947,https://en.wikipedia.org/wiki/Angel_and_the_Badman,Angel and the Badman,2009,https://en.wikipedia.org/wiki/Angel_and_the_Badman#Remake,Q645771,Q645771
Angels in the Outfield,1951,https://en.wikipedia.org/wiki/Angels_in_the_Outfield_(1951_film),Angels in the Outfield,1994,https://en.wikipedia.org/wiki/Angels_in_the_Outfield_(1994_film),Q4763098,Q659037
Annie,1982,https://en.wikipedia.org/wiki/Annie_(1982_film),Annie,1999,https://en.wikipedia.org/wiki/Annie_(1999_film),Q566890,Q2851616
Annie,1982,https://en.wikipedia.org/wiki/Annie_(1982_film),Annie,2014,https://en.wikipedia.org/wiki/Annie_(2014_film),Q566890,Q15039835
Anthony Zimmer,2005,https://en.wikipedia.org/wiki/Anthony_Zimmer,The Tourist,2010,https://en.wikipedia.org/wiki/The_Tourist_(2010_film),Q574196,Q629975
Antropophagus,1980,https://en.wikipedia.org/wiki/Antropophagus,Anthropophagous 2000,1999,https://en.wikipedia.org/wiki/Anthropophagous_2000,Q1888486,Q324694
Anything for Her,2008,https://en.wikipedia.org/wiki/Anything_for_Her,The Next Three Days,2010,https://en.wikipedia.org/wiki/The_Next_Three_Days,Q661693,Q263930
The Apartment,1996,https://en.wikipedia.org/wiki/The_Apartment_(1996_film),Wicker Park,2004,https://en.wikipedia.org/wiki/Wicker_Park_(film),Q2409001,Q603494
April Fool's Day,1986,https://en.wikipedia.org/wiki/April_Fool%27s_Day_(1986_film),April Fool's Day,2008,https://en.wikipedia.org/wiki/April_Fool%27s_Day_(2008_film),Q692275,Q1816375
The Arena,1974,https://en.wikipedia.org/wiki/The_Arena_(1974_film),The Arena,2001,https://en.wikipedia.org/wiki/The_Arena_(2001_film),Q3823937,Q4139273
Around the World in 80 Days,1956,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(1956_film),Around the World in 80 Days,2004,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(2004_film),Q696057,Q156519
Arjun Reddy,2017,https://en.wikipedia.org/wiki/Arjun_Reddy,Kabir Singh,2019,https://en.wikipedia.org/wiki/Kabir_Singh,Q28419404,Q58411760
Arjun Reddy,2017,https://en.wikipedia.org/wiki/Arjun_Reddy,Adithya Varma,2019,https://en.wikipedia.org/wiki/Adithya_Varma,Q28419404,Q43259962
Arjun Reddy,2017,https://en.wikipedia.org/wiki/Arjun_Reddy,Varmaa,2020,https://en.wikipedia.org/wiki/Varmaa,Q28419404,Q101244947
Arthur,1981,https://en.wikipedia.org/wiki/Arthur_(1981_film),Arthur,2011,https://en.wikipedia.org/wiki/Arthur_(2011_film),Q627438,Q708306
